Date,Open,High,Low,Close,Adj Close,Volume
2018-04-09,145.124283,147.858505,145.066925,145.975143,109.507477,4616207
2018-04-10,148.212234,149.713196,147.944550,148.556412,111.443863,3981494
2018-04-11,147.581268,148.929260,147.112808,148.527725,111.422371,3458599
2018-04-12,149.856598,151.988525,149.780121,151.118546,113.365929,5898812
2018-04-13,151.692154,152.217972,149.053543,149.818359,112.390549,4243727
2018-04-16,151.042068,152.141495,150.736145,150.946457,113.236824,4379393
2018-04-17,151.835571,154.875717,151.539200,153.833649,115.402725,10677045
2018-04-18,145.449326,145.917786,141.739960,142.246658,106.710419,21319258
2018-04-19,142.629059,142.648178,140.172089,141.204590,105.928703,8458061
2018-04-20,141.395798,141.462708,138.154877,138.527725,103.920547,8645818
2018-04-23,138.652008,139.541107,137.982788,139.445511,104.609055,5560118
2018-04-24,140.066925,140.822174,138.173996,139.158707,104.393913,5142659
2018-04-25,139.378586,139.961761,137.772461,139.521988,104.666435,7663414
2018-04-26,140.152969,140.879547,139.770554,140.267685,105.225853,4462027
2018-04-27,140.382416,140.774384,139.254303,140.038239,105.053696,3352953
2018-04-30,140.401535,140.898666,138.585083,138.585083,103.963593,4618613
2018-05-01,138.288712,138.642441,137.160614,138.623322,103.992294,4637336
2018-05-02,138.107071,138.451248,135.822174,136.185471,102.163445,5433865
2018-05-03,135.879547,135.975143,133.747604,135.745697,101.833557,5249456
2018-05-04,134.894836,138.001907,134.110901,137.581268,103.210548,4604701
2018-05-07,137.667297,137.973236,136.367111,136.921600,102.715683,3825222
2018-05-08,136.711288,137.198853,135.812622,136.711288,102.557907,5616079
2018-05-09,135.659653,136.730408,135.066925,136.338425,103.413551,4389016
2018-05-10,136.854691,137.982788,136.720840,137.896744,104.595566,3898024
2018-05-11,137.772461,138.479919,137.265778,137.801147,104.523033,3214567
2018-05-14,138.116638,138.738052,137.801147,137.954117,104.639099,3364041
2018-05-15,137.189301,137.657745,136.634796,137.418732,104.232994,4277512
2018-05-16,137.380493,138.652008,136.969406,138.269592,104.878380,3314460
2018-05-17,138.145309,138.804977,137.447418,138.145309,104.784103,3292494
2018-05-18,138.116638,138.565964,137.657745,137.743790,104.479546,2805581
2018-05-21,138.575531,139.617584,138.317398,139.091782,105.502022,3027856
2018-05-22,139.120453,139.770554,138.623322,138.709366,105.211952,2389064
2018-05-23,138.001907,138.336517,137.170166,138.307846,104.907379,3618846
2018-05-24,138.040146,138.126190,136.663483,137.734222,104.472305,3555040
2018-05-25,137.571701,138.212234,137.151047,137.323135,104.160461,5140358
2018-05-29,136.261948,136.606125,134.043976,135.009567,102.405609,4746330
2018-05-30,135.659653,136.806885,135.583176,136.347992,103.420807,5353951
2018-05-31,136.529633,136.529633,134.847031,135.095596,102.470886,7144494
2018-06-01,136.166351,136.558319,135.391968,135.707458,102.934959,4034945
2018-06-04,136.042068,136.873810,135.927338,136.749527,103.725403,3174924
2018-06-05,136.759079,137.743790,136.749527,137.380493,104.203964,2966456
2018-06-06,137.992355,138.355637,137.227539,138.346085,104.936378,3368225
2018-06-07,138.623322,140.248566,138.556412,138.967499,105.407768,4515059
2018-06-08,138.623322,139.990433,138.021027,139.713196,105.973351,5450183
2018-06-11,140.172089,140.927338,139.713196,140.133850,106.292412,3409960
2018-06-12,140.630981,141.032501,140.172089,140.411087,106.502724,2761963
2018-06-13,140.334610,140.984711,139.770554,139.913956,106.125633,3104737
2018-06-14,140.200760,140.516251,138.709366,138.814529,105.291710,3479310
2018-06-15,138.527725,139.072662,137.380493,138.996170,105.429489,9535336
2018-06-18,137.839386,138.164429,136.845123,138.126190,104.769615,4483574
2018-06-19,136.826004,137.877625,136.663483,137.571701,104.349022,3647402
2018-06-20,137.877625,138.164429,136.147232,136.357559,103.428101,3483075
2018-06-21,136.319305,136.845123,134.636703,135.038239,102.427361,4066534
2018-06-22,135.411087,135.573608,134.588913,135.066925,102.449142,5869420
2018-06-25,134.225616,134.225616,132.198853,132.686417,100.643494,9348207
2018-06-26,133.231354,133.699814,132.246658,132.963669,100.853813,4329917
2018-06-27,132.992355,133.632889,131.405350,131.434036,99.693565,4290483
2018-06-28,132.026764,134.359467,131.883362,133.881454,101.549957,4731790
2018-06-29,134.149139,135.143402,133.470367,133.556412,101.303406,3880765
2018-07-02,132.198853,134.053543,132.122375,133.709366,101.419411,3562048
2018-07-03,134.464630,134.741867,133.240921,133.432129,101.209129,2053507
2018-07-05,134.302109,135.210327,133.776291,135.210327,102.557884,3916956
2018-07-06,135.305923,136.653915,134.961761,136.214142,103.319313,2980054
2018-07-09,136.319305,138.355637,136.204590,138.040146,104.704353,4084316
2018-07-10,138.154877,139.187378,137.915863,138.346085,104.936378,3950742
2018-07-11,137.667297,139.761002,137.667297,138.565964,105.103157,3688824
2018-07-12,139.435944,140.372849,139.330780,140.009567,106.198166,3262997
2018-07-13,140.009567,140.516251,139.388138,139.483749,105.799316,3203480
2018-07-16,139.263855,139.378586,137.868073,139.063095,105.480270,3628365
2018-07-17,138.384323,138.623322,137.036331,137.179733,104.051720,5331148
2018-07-18,137.198853,138.432129,136.462708,138.164429,104.798584,7254324
2018-07-19,141.347992,143.919693,140.774384,142.676865,108.221321,15329967
2018-07-20,142.045883,142.313583,139.827911,139.913956,106.125633,6709672
2018-07-23,139.913956,140.248566,138.632889,139.292542,105.654305,4077203
2018-07-24,140.248566,140.573608,139.502869,139.942642,106.147408,4070614
2018-07-25,139.588913,140.200760,139.101334,140.172089,106.321426,3797921
2018-07-26,140.946457,142.705551,140.181641,140.258133,106.386681,4997788
2018-07-27,140.430206,140.669220,138.298279,138.766724,105.255447,3921768
2018-07-30,138.432129,139.808792,138.326965,139.091782,105.502022,3774177
2018-07-31,139.330780,139.388138,137.820267,138.556412,105.095924,5726013
2018-08-01,138.393875,138.804977,137.036331,137.189301,104.058975,3544266
2018-08-02,136.577438,137.055450,136.070740,136.673035,103.667381,4018104
2018-08-03,136.940720,141.414917,136.711288,141.204590,107.104607,8424066
2018-08-06,140.487579,140.726578,139.168259,139.608032,105.893585,4093730
2018-08-07,140.200760,141.147232,139.913956,140.544937,106.604263,3670205
2018-08-08,140.850861,140.946457,139.808792,140.430206,106.517212,3745831
2018-08-09,139.130020,139.521988,138.365204,138.403442,106.114059,3235801
2018-08-10,138.145309,138.690247,137.552582,138.126190,105.901512,3141243
2018-08-13,137.810699,137.954117,136.261948,136.434036,104.604141,2989991
2018-08-14,136.711288,137.495224,136.644363,137.055450,105.080559,2991560
2018-08-15,136.281067,137.667297,135.755264,137.581268,105.483704,4436609
2018-08-16,138.021027,139.273422,138.021027,138.948380,106.531883,5492232
2018-08-17,138.422562,139.952194,138.326965,139.636703,107.059631,2801816
2018-08-20,139.933075,140.688339,139.722748,140.066925,107.389488,2614686
2018-08-21,140.535370,140.650101,139.474182,139.550674,106.993622,3249817
2018-08-22,139.588913,139.732315,138.804977,138.852768,106.458565,2498894
